2,2,3108.27,1.54545,3413.27
4,2,3098.09,15.5455,3403.09
8,2,2252.55,21,2557.55
2,3,3108.27,1.54545,3413.27
4,3,3098.09,15.5455,3403.09
8,3,2252.55,21,2557.55
2,4,3108.27,1.54545,3413.27
4,4,3098.09,15.5455,3403.09
8,4,2252.55,21,2557.55
2,2,3108.27,1.54545,3413.27
4,2,3098.09,15.5455,3403.09
8,2,2252.55,21,2557.55
2,3,3108.27,1.54545,3413.27
4,3,3098.09,15.5455,3403.09
8,3,2252.55,21,2557.55
2,4,3108.27,1.54545,3413.27
4,4,3098.09,15.5455,3403.09
8,4,2252.55,21,2557.55
2,2,3101.45,12.2727,3406.45
4,2,3102.82,16.6364,3407.82
8,2,3082.73,34.0909,3387.73
2,3,3101.45,12.2727,3406.45
4,3,3102.82,16.6364,3407.82
8,3,3082.73,34.0909,3387.73
2,4,3101.45,12.2727,3406.45
4,4,3102.82,16.6364,3407.82
8,4,3082.73,34.0909,3387.73
